Categoria,Marca,Modelo,Ano,Preço,Nota Geral,Conforto/Acabamento,Consumo,Custo Benefício,Design,Dirigibilidade,Manutenção,Performance
Suv Premium,Volvo,XC60,2020,259950.0,9.3,9.3,9.0,8.7,9.7,10.0,8.0,9.7
Suv Premium,Mercedes-Benz,Classe GLA,2020,185900.0,8.5,9.0,5.0,7.5,10.0,10.0,8.0,9.0
Suv Premium,Mitsubishi,Pajero Full,2020,229990.0,8.3,8.0,9.0,8.0,9.3,9.3,6.3,9.3
Suv Luxo,Land Rover,Range Rover Evoque,2020,281600.0,8.9,9.5,7.8,8.4,9.8,9.1,8.1,9.7
Suv Luxo,Jeep,Grand Cherokee,2020,359990.0,6.3,7.3,4.3,4.0,7.7,7.7,4.7,8.0
Suv Luxo,BMW,X6,2021,567950.0,9.0,9.0,8.0,7.0,10.0,10.0,7.0,10.0
Suv Luxo,Land Rover,Discovery Sport,2020,232500.0,5.5,5.5,6.0,4.5,7.2,5.8,3.7,6.0
Suv Luxo,Land Rover,Range Rover Sport,2020,469430.0,7.0,9.2,6.0,5.5,9.5,6.5,5.0,6.8
Suv Luxo,Audi,Q5,2020,259990.0,7.5,8.0,5.0,6.5,9.0,8.0,6.0,8.5
Monovolume,Honda,Fit,2020,62000.0,8.2,7.4,8.1,7.2,9.1,9.2,7.8,8.5
Monovolume,Kia,Soul,2019,89990.0,7.3,8.3,7.3,6.0,9.0,8.3,5.7,7.0
Monovolume,Honda,WR-V,2021,83400.0,9.4,9.1,9.3,9.1,9.4,9.7,9.3,9.4
Monovolume,Mercedes-Benz,Classe B,2018,155900.0,8.1,8.4,9.4,6.4,9.4,9.0,5.6,8.8
Monovolume,Citroën,Aircross,2020,61490.0,9.1,9.6,7.7,8.9,9.5,9.7,9.0,8.7
Monovolume,BMW,Série 2,2021,205950.0,8.0,10.0,8.0,8.0,8.0,10.0,5.0,9.0
Wagon,Chevrolet,Spin,2021,69990.0,8.8,8.7,8.1,8.8,9.0,9.1,8.1,8.8
Wagon,Fiat,Doblò,2021,95890.0,7.0,7.0,5.0,9.0,5.0,8.0,8.0,7.0
Van,Fiat,Fiorino,2021,68290.0,9.0,9.0,9.0,8.0,9.0,8.0,10.0,8.0
Van,Hyundai,HR,2021,81990.0,5.0,4.0,6.5,4.0,5.0,8.0,2.0,7.0
Van,Mercedes-Benz,Sprinter,2020,130673.0,8.0,7.0,9.0,8.0,8.0,10.0,8.0,8.0
Van,Renault,Kangoo Express,2018,55800.0,5.3,7.0,4.7,4.3,5.3,7.7,3.0,6.7
Van,Peugeot,Expert,2021,128990.0,8.0,8.0,10.0,8.0,9.0,9.0,7.0,8.0
Van,Mercedes-Benz,Vito,2017,104980.0,8.0,7.0,9.0,8.0,8.0,9.0,5.0,9.0
